gpus	gpu_count	epochs	batch_size	nccl	samples/sec
0	1	10	4096	FALSE	9541.44
1	1	10	4096	FALSE	9560.36
4	1	10	4096	FALSE	9655.21
5	1	10	4096	FALSE	9508.1
0,1	2	10	4096	TRUE	17183.4
4,5	2	10	4096	TRUE	17438.76
0,1,2	3	10	4096	TRUE	21825.34
4,5,6	3	10	4096	TRUE	13376.63
0,1,2,3	4	10	4096	TRUE	17232.97
0,1,2,3,4	5	10	4096	TRUE	20651.11
0,1,2,3,4,5	6	10	4096	TRUE	38547.11
0,1	2	10	4096	FALSE	17678.42
4,5	2	10	4096	FALSE	9416.75
0,1,2	3	10	4096	FALSE	13382.04
4,5,6	3	10	4096	FALSE	13410.07
0,1,2,3	4	10	4096	FALSE	17295.21
0,1,2,3,4	5	10	4096	FALSE	36421.84
0,1,2,3,4,5	6	10	4096	FALSE	31514.89
0	1	10	512	FALSE	8804.59
1	1	10	512	FALSE	8474.5
4	1	10	512	FALSE	8588.94
5	1	10	512	FALSE	8386.36
0,1	2	10	512	TRUE	15018.97
4,5	2	10	512	TRUE	14626.89
0,1,2	3	10	512	TRUE	17479.57
4,5,6	3	10	512	TRUE	11098.95
0,1,2,3	4	10	512	TRUE	12801.67
0,1,2,3,4	5	10	512	TRUE	16027.35
0,1,2,3,4,5	6	10	512	TRUE	15033.88
0,1	2	10	512	FALSE	15464.07
4,5	2	10	512	FALSE	15107.8
0,1,2	3	10	512	FALSE	17897.64
4,5,6	3	10	512	FALSE	10629.43
0,1,2,3	4	10	512	FALSE	12852.58
0,1,2,3,4	5	10	512	FALSE	15966.22
0,1,2,3,4,5	6	10	512	FALSE	15308.45
0	1	10	32	FALSE	4580.03
1	1	10	32	FALSE	4674.95
4	1	10	32	FALSE	4791.86
5	1	10	32	FALSE	4738.66
0,1	2	10	32	TRUE	3671.19
4,5	2	10	32	TRUE	3590.68
0,1,2	3	10	32	TRUE	3152.97
4,5,6	3	10	32	TRUE	3122.36
0,1,2,3	4	10	32	TRUE	2879.58
0,1,2,3,4	5	10	32	TRUE	2733.74
0,1,2,3,4,5	6	10	32	TRUE	2589.21
0,1	2	10	32	FALSE	3687.25
4,5	2	10	32	FALSE	3598.14
0,1,2	3	10	32	FALSE	3171.98
4,5,6	3	10	32	FALSE	3097.27
0,1,2,3	4	10	32	FALSE	2883.2
0,1,2,3,4	5	10	32	FALSE	2729.21
0,1,2,3,4,5	6	10	32	FALSE	2593.72
